ds,actual_demand,forecast,yhat_lower,yhat_upper,product
2015-01-04,66,112.99978756247368,97.60716471818705,127.39842634258895,Field & Stream Sportsman 16 Gun Fire Safe
2015-01-11,128,114.96851134753905,99.45111591722609,129.58046381690326,Field & Stream Sportsman 16 Gun Fire Safe
2015-01-18,111,119.04397590226876,105.11233583679883,133.50717878031662,Field & Stream Sportsman 16 Gun Fire Safe
2015-01-25,140,121.42451435576655,107.3758377473966,136.10018776317844,Field & Stream Sportsman 16 Gun Fire Safe
2015-02-01,114,119.9433503366367,105.08031800887383,133.8686018297384,Field & Stream Sportsman 16 Gun Fire Safe
2015-02-08,96,116.78717329924157,102.23852395883661,131.06149479638395,Field & Stream Sportsman 16 Gun Fire Safe
2015-02-15,121,115.94184853236305,101.4433752684651,129.94860855543277,Field & Stream Sportsman 16 Gun Fire Safe
2015-02-22,109,118.27016606337756,103.8561066843603,132.3258242992251,Field & Stream Sportsman 16 Gun Fire Safe
2015-03-01,120,120.3644210564106,106.06692119057277,134.4790925894906,Field & Stream Sportsman 16 Gun Fire Safe
2015-03-08,134,118.8333209141216,103.58538568582614,133.71854191179602,Field & Stream Sportsman 16 Gun Fire Safe
2015-03-15,107,114.83586181909675,99.29228872338012,128.99050685388468,Field & Stream Sportsman 16 Gun Fire Safe
2015-03-22,120,113.09480828533951,99.17766367031663,127.33966471357598,Field & Stream Sportsman 16 Gun Fire Safe
2015-03-29,112,116.30780678397589,101.53731981484347,130.52248761684965,Field & Stream Sportsman 16 Gun Fire Safe
2015-04-05,120,121.66392755575006,107.77057391648084,135.55260581651987,Field & Stream Sportsman 16 Gun Fire Safe
2015-04-12,123,123.79833759745068,109.18270681857979,138.05285234911221,Field & Stream Sportsman 16 Gun Fire Safe
2015-04-19,114,120.75727402703806,105.92927497945655,135.31791514613047,Field & Stream Sportsman 16 Gun Fire Safe
2015-04-26,119,115.91449713474036,102.01599743453976,130.79706633293785,Field & Stream Sportsman 16 Gun Fire Safe
2015-05-03,130,113.7440469904701,99.49458246826677,127.56571919685956,Field & Stream Sportsman 16 Gun Fire Safe
2015-05-10,105,114.76957336062154,100.11690268058877,128.87279084060933,Field & Stream Sportsman 16 Gun Fire Safe
2015-05-17,114,115.76709919408222,101.64404198789417,130.55606544533546,Field & Stream Sportsman 16 Gun Fire Safe
2015-05-24,117,114.61137807011669,99.91512929636255,129.40770354426004,Field & Stream Sportsman 16 Gun Fire Safe
2015-05-31,128,113.4292428262832,99.3337629865498,127.23036084751415,Field & Stream Sportsman 16 Gun Fire Safe
2015-06-07,113,116.00281223151794,102.10752335919362,129.99558381440153,Field & Stream Sportsman 16 Gun Fire Safe
2015-06-14,137,122.64926293580868,108.16989528503674,136.59376121434946,Field & Stream Sportsman 16 Gun Fire Safe
2015-06-21,114,128.9742389793439,116.3271165111848,143.35984830244672,Field & Stream Sportsman 16 Gun Fire Safe
2015-06-28,129,130.14072963492885,116.53011733738279,144.87451211268626,Field & Stream Sportsman 16 Gun Fire Safe
2015-07-05,137,125.66326044986258,110.66769484415157,139.4138554188179,Field & Stream Sportsman 16 Gun Fire Safe
2015-07-12,131,119.35600113850236,104.8455039442275,133.61971263665197,Field & Stream Sportsman 16 Gun Fire Safe
2015-07-19,113,115.05781491368509,100.95015915105566,129.08347570224547,Field & Stream Sportsman 16 Gun Fire Safe
2015-07-26,102,113.47192468597791,100.88266107410838,128.18843907219787,Field & Stream Sportsman 16 Gun Fire Safe
2015-08-02,114,113.31058878908262,99.24010343168594,128.50223424133267,Field & Stream Sportsman 16 Gun Fire Safe
2015-08-09,106,114.20798933938185,100.09591235502832,128.9716998219205,Field & Stream Sportsman 16 Gun Fire Safe
2015-08-16,114,117.05583229400384,103.16804155624018,131.01771783379738,Field & Stream Sportsman 16 Gun Fire Safe
2015-08-23,133,121.51157489899478,107.36932387844728,136.70912820782584,Field & Stream Sportsman 16 Gun Fire Safe
2015-08-30,105,124.64958431108039,110.65214264287947,139.45102546003469,Field & Stream Sportsman 16 Gun Fire Safe
2015-09-06,151,123.34920001007484,109.33873846579131,137.56936854500302,Field & Stream Sportsman 16 Gun Fire Safe
2015-09-13,113,117.88144510070268,104.09693125536202,133.3093846287841,Field & Stream Sportsman 16 Gun Fire Safe
2015-09-20,99,112.14558163949458,97.53972281884683,127.1091262222662,Field & Stream Sportsman 16 Gun Fire Safe
2015-09-27,106,109.93723412047996,96.40487429733646,124.07223334836132,Field & Stream Sportsman 16 Gun Fire Safe
2015-10-04,118,111.52988154298248,97.62046333102344,124.91357597853096,Field & Stream Sportsman 16 Gun Fire Safe
2015-10-11,112,114.41828073550099,100.92515838952588,128.8740338422443,Field & Stream Sportsman 16 Gun Fire Safe
2015-10-18,126,116.86486146394043,103.11188655811208,131.15086872460853,Field & Stream Sportsman 16 Gun Fire Safe
2015-10-25,99,119.59236094226173,104.02832475922084,133.97329152231757,Field & Stream Sportsman 16 Gun Fire Safe
2015-11-01,137,123.71408059166836,109.26351916179459,138.13030266001653,Field & Stream Sportsman 16 Gun Fire Safe
2015-11-08,140,128.04935307475355,112.99704697233894,143.0993789497523,Field & Stream Sportsman 16 Gun Fire Safe
2015-11-15,121,129.76901839292242,114.5755600517148,144.4151439777272,Field & Stream Sportsman 16 Gun Fire Safe
2015-11-22,124,127.64828262408449,114.43754902869878,142.70654100594868,Field & Stream Sportsman 16 Gun Fire Safe
